ModelYear,Trim,Hybrid,Mileage,Price
2018,SE,FALSE,5275,17998
2015,LE,FALSE,43696,17898
2017,SE,FALSE,41522,17700
2018,LE,FALSE,5242,16998
2014,XLE,FALSE,38410,16965
2017,SE,FALSE,9930,16299
2016,XLE,FALSE,38745,16264
2015,XLE,FALSE,79502,15980
2018,LE,FALSE,18300,15575
2017,LE,FALSE,34534,15500
2016,SE,FALSE,44917,15197
2017,SE,FALSE,13283,14999
2016,LE,TRUE,22208,14900
2017,SE,FALSE,51218,14795
2016,XLE,FALSE,53612,14497
2015,SE,FALSE,33626,13999
2016,LE,FALSE,12142,13999
2017,LE,FALSE,24688,13995
2017,SE,FALSE,28828,13775
2017,LE,FALSE,22123,13490
2015,XLE,FALSE,30640,13421
2015,LE,FALSE,26526,12999
2015,LE,FALSE,26526,12999
2016,LE,FALSE,40125,12990
2017,SE,FALSE,32003,12985
2015,SE,FALSE,37091,12899
2015,SE,FALSE,37091,12899
2015,LE,FALSE,27017,12899
2015,SE,FALSE,35243,12480
2013,SE,FALSE,61932,12434
2017,SE,FALSE,47440,12094
2013,LE,FALSE,59610,12000
2012,SE,FALSE,81848,11699
2014,LE,FALSE,26804,11600
2013,SE,FALSE,32138,11499
2010,LE,FALSE,57441,10999
2014,LE,TRUE,60100,10995
2011,SE,FALSE,87046,10200
2012,XLE,FALSE,95000,8900
2007,SE,TRUE,90915,7499
2011,LE,FALSE,80395,7000
2009,XLE,FALSE,89355,6996
2009,LE,TRUE,68500,6995
2012,SE,FALSE,132168,6995
2011,LE,FALSE,133396,6995
2009,XLE,FALSE,89355,6995
2009,LE,FALSE,109291,6994
2007,XLE,FALSE,155894,5998
2010,LE,FALSE,116893,5995
2006,LE,FALSE,64955,5295
2002,SE,FALSE,97097,4891
2004,LE,FALSE,129740,4699
2003,XLE,FALSE,136298,4690
2008,SE,FALSE,106296,4500
2007,LE,FALSE,169960,4000
2007,XLE,FALSE,137431,3995
2016,LE,FALSE,27758,2995
2000,XLE,FALSE,111000,2400
2006,LE,FALSE,234306,1988
2003,SE,FALSE,202322,1500
