id Number,Heart Rate,zero-tolerance,Political,What is your favorite subject?,ready.in.the.morning
1,75,No,2,English,15
2,75,No,1,Language,25
3,65,No,2,Science,25
4,60,No,5,Language,15
5,64,Yes,2,Math,20
6,50,Yes,2,English,20
7,75,Yes,3,History,45
8,82,No,3,History,25
9,52,Depends,5,Math,20
10,60,Depends,3,Math,15
11,70,Yes,3,Math,30
12,43,No,4,History,20
13,70,Yes,2,Math,30
14,65,Depends,2,English,35
15,74,No,1,History,15
16,701,No,2,English,20
17,70,Yes,3,Math,25
18,75,No,2,Math,15
19,75,Depends,3,History,20
20,75,Depends,5,History,30
21,75,Depends,2,History,15
22,60,Yes,3,Language,10
23,66,Yes,4,Science,30
24,70,No,5,Science,30
25,70,No,5,Science,30
26,67,No,4,Art,30
27,59,Yes,2,English,45
28,79,Yes,1,Art,15
29,75,No,2,History,20
