album_name,album_release,Year,track_number,track_name,featuring,bonus_track,danceability,energy,key,loudness,mode,speechiness,acousticness,liveness,valence,tempo,time_signature,duration_ms,duration_sec,explicit,key_name,mode_name,key_mode
Taylor Swift,10/24/06,2006,1,Tim McGraw,NA,FALSE,0.58,0.491,0,-6.462,1,0.0251,0.575,0.121,0.425,76.009,4,232107,232.107,FALSE,C,major,C major
Taylor Swift,10/24/06,2006,2,Picture To Burn,NA,FALSE,0.658,0.877,7,-2.098,1,0.0323,0.173,0.0962,0.821,105.586,4,173067,173.067,FALSE,G,major,G major
Taylor Swift,10/24/06,2006,3,Teardrops On My Guitar,NA,FALSE,0.621,0.417,10,-6.941,1,0.0231,0.288,0.119,0.289,99.953,4,203040,203.04,FALSE,A#,major,A# major
Taylor Swift,10/24/06,2006,4,A Place In This World,NA,FALSE,0.576,0.777,9,-2.881,1,0.0324,0.051,0.32,0.428,115.028,4,199200,199.2,FALSE,A,major,A major
Taylor Swift,10/24/06,2006,5,Cold As You,NA,FALSE,0.418,0.482,5,-5.769,1,0.0266,0.217,0.123,0.261,175.558,4,239013,239.013,FALSE,F,major,F major
Taylor Swift,10/24/06,2006,6,The Outside,NA,FALSE,0.589,0.805,5,-4.055,1,0.0293,0.00491,0.24,0.591,112.982,4,207107,207.107,FALSE,F,major,F major
Taylor Swift,10/24/06,2006,7,Tied Together With A Smile,NA,FALSE,0.479,0.578,2,-4.963,1,0.0294,0.525,0.0841,0.192,146.165,4,248107,248.107,FALSE,D,major,D major
Taylor Swift,10/24/06,2006,8,Stay Beautiful,NA,FALSE,0.594,0.629,8,-4.919,1,0.0246,0.0868,0.137,0.504,131.597,4,236053,236.053,FALSE,G#,major,G# major
Taylor Swift,10/24/06,2006,9,Should've Said No,NA,FALSE,0.476,0.777,4,-3.771,0,0.0289,0.0103,0.196,0.472,167.964,4,242200,242.2,FALSE,E,minor,E minor
Taylor Swift,10/24/06,2006,10,Mary's Song (Oh My My My),NA,FALSE,0.403,0.627,2,-5.28,1,0.0292,0.0177,0.182,0.374,74.9,4,213080,213.08,FALSE,D,major,D major
Taylor Swift,10/24/06,2006,11,Our Song,NA,FALSE,0.668,0.672,2,-4.931,1,0.0303,0.111,0.329,0.539,89.011,4,201107,201.107,FALSE,D,major,D major
Taylor Swift,10/24/06,2006,12,I'm Only Me When I'm With You,NA,TRUE,0.563,0.934,8,-3.629,1,0.0646,0.00452,0.103,0.518,143.964,4,213053,213.053,FALSE,G#,major,G# major
Taylor Swift,10/24/06,2006,13,Invisible,NA,TRUE,0.612,0.394,7,-5.723,1,0.0243,0.637,0.147,0.233,96.001,4,203227,203.227,FALSE,G,major,G major
Taylor Swift,10/24/06,2006,14,A Perfectly Good Heart,NA,TRUE,0.483,0.751,4,-5.726,1,0.0365,0.00349,0.128,0.268,156.092,4,220147,220.147,FALSE,E,major,E major
Taylor Swift,10/24/06,2006,15,Teardrops On My Guitar (Pop Version),NA,TRUE,0.459,0.753,10,-3.827,1,0.0537,0.0402,0.0863,0.483,199.997,4,179067,179.067,FALSE,A#,major,A# major
Fearless (Taylor's Version),4/9/21,2021,1,Fearless (Taylor's Version),NA,FALSE,0.569,0.741,5,-4.963,1,0.0282,0.0122,0.333,0.43,100.118,4,241592,241.592,FALSE,F,major,F major
Fearless (Taylor's Version),4/9/21,2021,2,Fifteen (Taylor's Version),NA,FALSE,0.559,0.646,7,-4.61,1,0.0272,0.116,0.32,0.289,95.466,4,294419,294.419,FALSE,G,major,G major
Fearless (Taylor's Version),4/9/21,2021,3,Love Story (Taylor's Version),NA,FALSE,0.627,0.792,2,-4.311,1,0.031,0.13,0.0845,0.415,119.054,4,235767,235.767,FALSE,D,major,D major
Fearless (Taylor's Version),4/9/21,2021,4,Hey Stephen (Taylor's Version),NA,FALSE,0.788,0.571,6,-6.135,1,0.0296,0.106,0.0934,0.797,115.99,4,254255,254.255,FALSE,F#,major,F# major
Fearless (Taylor's Version),4/9/21,2021,5,White Horse (Taylor's Version),NA,FALSE,0.423,0.517,0,-7.377,1,0.0486,0.369,0.177,0.366,185.262,4,234516,234.516,FALSE,C,major,C major
Fearless (Taylor's Version),4/9/21,2021,6,You Belong With Me (Taylor's Version),NA,FALSE,0.632,0.773,6,-4.856,1,0.0346,0.0623,0.0885,0.474,130.033,4,231124,231.124,FALSE,F#,major,F# major
Fearless (Taylor's Version),4/9/21,2021,7,Breathe (Taylor's Version),Colbie Caillat,FALSE,0.506,0.626,1,-6.066,1,0.0287,0.156,0.228,0.321,148.035,4,263377,263.377,FALSE,C#,major,C# major
Fearless (Taylor's Version),4/9/21,2021,8,Tell Me Why (Taylor's Version),NA,FALSE,0.578,0.909,7,-3.669,1,0.0628,0.0222,0.333,0.541,100.023,4,200576,200.576,FALSE,G,major,G major
Fearless (Taylor's Version),4/9/21,2021,9,You're Not Sorry (Taylor's Version),NA,FALSE,0.506,0.444,6,-4.99,1,0.0285,0.0538,0.123,0.241,133.873,4,261843,261.843,FALSE,F#,major,F# major
Fearless (Taylor's Version),4/9/21,2021,10,The Way I Loved You (Taylor's Version),NA,FALSE,0.402,0.732,5,-4.665,1,0.0484,0.0033,0.108,0.472,161.032,4,243137,243.137,FALSE,F,major,F major
Fearless (Taylor's Version),4/9/21,2021,11,Forever & Always (Taylor's Version),NA,FALSE,0.598,0.821,10,-4.433,1,0.0447,0.0231,0.143,0.673,128.03,4,225328,225.328,FALSE,A#,major,A# major
Fearless (Taylor's Version),4/9/21,2021,12,The Best Day (Taylor's Version),NA,FALSE,0.642,0.576,1,-8.524,1,0.0282,0.488,0.159,0.469,125,4,245290,245.29,FALSE,C#,major,C# major
Fearless (Taylor's Version),4/9/21,2021,13,Change (Taylor's Version),NA,FALSE,0.499,0.815,5,-4.063,1,0.0341,0.000191,0.181,0.344,95.999,4,279360,279.36,FALSE,F,major,F major
Fearless (Taylor's Version),4/9/21,2021,14,Jump Then Fall (Taylor's Version),NA,FALSE,0.572,0.69,2,-6.201,1,0.0358,0.0474,0.0897,0.624,160.111,4,237580,237.58,FALSE,D,major,D major
Fearless (Taylor's Version),4/9/21,2021,15,Untouchable (Taylor's Version),NA,FALSE,0.393,0.531,5,-6.112,1,0.0329,0.0181,0.169,0.224,200.391,4,312107,312.107,FALSE,F,major,F major
Fearless (Taylor's Version),4/9/21,2021,16,Forever & Always (Piano Version) [Taylor's Version],NA,FALSE,0.546,0.273,9,-9.208,1,0.0308,0.819,0.137,0.271,118.753,4,267833,267.833,FALSE,A,major,A major
Fearless (Taylor's Version),4/9/21,2021,17,Come In With The Rain (Taylor's Version),NA,FALSE,0.476,0.564,2,-5.677,1,0.0269,0.0406,0.102,0.167,143.929,4,237339,237.339,FALSE,D,major,D major
Fearless (Taylor's Version),4/9/21,2021,18,SuperStar (Taylor's Version),NA,FALSE,0.454,0.555,2,-6.69,1,0.0283,0.157,0.343,0.171,171.862,4,263865,263.865,FALSE,D,major,D major
Fearless (Taylor's Version),4/9/21,2021,19,The Other Side Of The Door (Taylor's Version),NA,FALSE,0.432,0.873,4,-4.367,1,0.0577,0.0279,0.167,0.629,163.936,4,238444,238.444,FALSE,E,major,E major
Fearless (Taylor's Version),4/9/21,2021,20,Today Was A Fairytale (Taylor's Version),NA,FALSE,0.482,0.779,7,-5.025,1,0.0409,0.0135,0.296,0.328,158.162,4,241822,241.822,FALSE,G,major,G major
Fearless (Taylor's Version),4/9/21,2021,21,You All Over Me (Taylor's Version) [From The Vault],Maren Morris,FALSE,0.599,0.494,2,-7.61,1,0.0372,0.816,0.101,0.44,142.893,4,220839,220.839,FALSE,D,major,D major
Fearless (Taylor's Version),4/9/21,2021,22,Mr. Perfectly Fine (Taylor's Version) [From The Vault],NA,FALSE,0.66,0.817,11,-6.269,0,0.0521,0.162,0.0667,0.714,135.942,4,277592,277.592,FALSE,B,minor,B minor
Fearless (Taylor's Version),4/9/21,2021,23,We Were Happy (Taylor's Version) [From The Vault],NA,FALSE,0.609,0.373,0,-8.819,1,0.0263,0.849,0.0779,0.13,106.007,4,244237,244.237,FALSE,C,major,C major
Fearless (Taylor's Version),4/9/21,2021,24,That's When (Taylor's Version) [From The Vault],Keith Urban,FALSE,0.588,0.608,5,-7.062,1,0.0365,0.225,0.092,0.508,90.201,4,189496,189.496,FALSE,F,major,F major
