Name,Disaster.type,Year,Month,Day,Total.CPIAdjusted.Cost.in.Billions,Deaths
Southern Severe Storms and Flooding (April 1980),Flooding,1980,4,10,2.551,7
Hurricane Allen (August 1980),Tropical Cyclone,1980,8,7,2.071,13
Central/Eastern Drought/Heat Wave (Summer-Fall 1980),Drought,1980,6,1,37.675,1260
Florida Freeze (January 1981),Freeze,1981,1,12,1.922,0
"Severe Storms, Flash Floods, Hail, Tornadoes (May 1981)",Severe Storm,1981,5,5,1.305,20
"Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)",Winter Storm,1982,1,8,2.052,85
Midwest/Plains/Southeast Tornadoes (April 1982),Severe Storm,1982,4,2,1.488,33
Severe Storms (June 1982),Severe Storm,1982,5,31,1.464,30
Gulf States Storms and Flooding (December 1982-January 1983),Flooding,1982,12,1,4.578,45
Western Storms and Flooding (December 1982-March 1983),Flooding,1982,12,13,4.469,50
Hurricane Alicia (August 1983),Tropical Cyclone,1983,8,17,8.760,21
Southeast Drought (Summer 1983),Drought,1983,6,1,8.863,0
Freeze / Cold Wave (December 1983),Freeze,1983,12,15,5.998,151
"Tornadoes, Severe Storms, Floods (Spring 1984)",Severe Storm,1984,3,27,1.719,80
Severe Storms and Hail (June 1984),Severe Storm,1984,6,13,1.258,1
"Winter Storm, Cold Wave (January 1985)",Winter Storm,1985,1,19,2.319,150
Florida Freeze (January 1985),Freeze,1985,1,20,3.324,0
Ohio and Pennsylvania Tornado Outbreak (June 1985),Severe Storm,1985,5,31,1.632,89
Hurricane Elena (September 1985),Tropical Cyclone,1985,8,30,3.516,4
Hurricane Gloria (September 1985),Tropical Cyclone,1985,9,26,2.312,11
Hurricane Juan (October 1985),Tropical Cyclone,1985,10,27,4.026,63
"Virginia, West Virginia, Pennsylvania and Maryland Flooding (November 1985)",Flooding,1985,11,3,3.752,62
Western Severe Storms and Flooding (February 1986),Severe Storm,1986,2,14,1.415,13
Southeast Drought/Heat Wave (Summer 1986),Drought,1986,6,1,4.816,100
U.S. Drought/Heat Wave (Summer 1988),Drought,1988,6,1,50.610,454
Southern Derecho and Severe Storms (May 1989),Severe Storm,1989,5,1,1.302,21
Tropical Storm Allison (June 1989),Tropical Cyclone,1989,6,26,1.381,11
Hurricane Hugo (September 1989),Tropical Cyclone,1989,9,21,21.060,86
Northern Plains Drought (Summer-Fall 1989),Drought,1989,6,1,7.238,0
Florida Freeze (December 1989),Freeze,1989,12,23,4.820,10
"Winter Storm, Cold Wave (December 1989)",Winter Storm,1989,12,21,1.578,100
Southern Flooding (May 1990),Flooding,1990,5,11,2.276,13
Colorado Hail Storm (July 1990),Severe Storm,1990,7,11,1.837,0
Western Fire Season (Summer 1990),Wildfire,1990,6,1,1.587,17
California Freeze (December 1990),Freeze,1990,12,18,7.786,0
"Severe Storms, Tornadoes (March 1991)",Severe Storm,1991,3,26,1.400,0
Hurricane Bob (August 1991),Tropical Cyclone,1991,8,18,3.216,18
U.S. Drought (Spring-Summer 1991),Drought,1991,3,1,6.529,0
Oakland Firestorm (October 1991),Wildfire,1991,10,1,7.029,25
Severe Storms (March 1992),Severe Storm,1992,3,24,1.689,0
"Hail, Tornadoes (April 1992)",Severe Storm,1992,4,28,2.004,0
"Severe Storms, Hail (June 1992)",Severe Storm,1992,6,19,1.556,0
