,year,unitid,institution_name,city_txt,state_cd,zip_text,classification_code,classification_name,ef_male_count,ef_female_count,ef_total_count,sector_cd,sector_name,sportscode,sum_partic_men,sum_partic_women,rev_men,rev_women,total_rev_menwomen,exp_men,exp_women,total_exp_menwomen,sports
14628,2015,222178,Abilene Christian University,Abilene,TX,79699,2,NCAA Division I-FCS,1447,2120,3567,2,"Private nonprofit, 4-year or above",7,117,0,3388489,NA,3388489,3388489,NA,3388489,Football
32097,2016,222178,Abilene Christian University,Abilene,TX,79699,2,NCAA Division I-FCS,1465,2085,3550,2,"Private nonprofit, 4-year or above",7,114,0,3867984,NA,3867984,3867984,NA,3867984,Football
49616,2017,222178,Abilene Christian University,Abilene,TX,79699,2,NCAA Division I-FCS,1455,2053,3508,2,"Private nonprofit, 4-year or above",7,140,0,4811820,NA,4811820,4811820,NA,4811820,Football
67386,2018,222178,Abilene Christian University,Abilene,TX,79699,2,NCAA Division I-FCS,1351,2046,3397,2,"Private nonprofit, 4-year or above",7,149,0,4852160,NA,4852160,4852160,NA,4852160,Football
121232,2019,222178,Abilene Christian University,Abilene,TX,79699,2,NCAA Division I-FCS,1321,2023,3344,2,"Private nonprofit, 4-year or above",7,132,0,5441419,NA,5441419,5713528,NA,5713528,Football
2150,2015,126182,Adams State University,Alamosa,CO,81101,4,NCAA Division II with football,916,828,1744,1,"Public, 4-year or above",7,111,0,915887,NA,915887,915887,NA,915887,Football
19518,2016,126182,Adams State University,Alamosa,CO,81101,4,NCAA Division II with football,830,793,1623,1,"Public, 4-year or above",7,105,0,995999,NA,995999,995999,NA,995999,Football
36956,2017,126182,Adams State University,Alamosa,CO,81101,4,NCAA Division II with football,766,739,1505,1,"Public, 4-year or above",7,110,0,1117805,NA,1117805,1117805,NA,1117805,Football
54593,2018,126182,Adams State University,Alamosa,CO,81101,4,NCAA Division II with football,786,686,1472,1,"Public, 4-year or above",7,110,0,1130112,NA,1130112,1130112,NA,1130112,Football
78087,2019,126182,Adams State University,Alamosa,CO,81101,4,NCAA Division II with football,699,653,1352,1,"Public, 4-year or above",7,132,0,1069447,NA,1069447,1069447,NA,1069447,Football
6995,2015,168528,Adrian College,Adrian,MI,492212575,6,NCAA Division III with football,865,743,1608,2,"Private nonprofit, 4-year or above",7,145,0,337096,NA,337096,337096,NA,337096,Football
24387,2016,168528,Adrian College,Adrian,MI,49221,6,NCAA Division III with football,833,771,1604,2,"Private nonprofit, 4-year or above",7,140,0,356940,NA,356940,356940,NA,356940,Football
41885,2017,168528,Adrian College,Adrian,MI,49221,6,NCAA Division III with football,819,787,1606,2,"Private nonprofit, 4-year or above",7,122,0,337417,NA,337417,337417,NA,337417,Football
59578,2018,168528,Adrian College,Adrian,MI,49221,6,NCAA Division III with football,924,826,1750,2,"Private nonprofit, 4-year or above",7,154,0,364478,NA,364478,364478,NA,364478,Football
94592,2019,168528,Adrian College,Adrian,MI,49221,6,NCAA Division III with football,869,854,1723,2,"Private nonprofit, 4-year or above",7,146,0,371721,NA,371721,371721,NA,371721,Football
4,2015,100654,Alabama A & M University,Normal,AL,35762,2,NCAA Division I-FCS,1923,2300,4223,1,"Public, 4-year or above",7,99,0,2808949,NA,2808949,3059353,NA,3059353,Football
17349,2016,100654,Alabama A & M University,Normal,AL,35762,2,NCAA Division I-FCS,1801,2410,4211,1,"Public, 4-year or above",7,108,0,2996306,NA,2996306,2996306,NA,2996306,Football
34763,2017,100654,Alabama A & M University,Normal,AL,35762,2,NCAA Division I-FCS,1900,2608,4508,1,"Public, 4-year or above",7,115,0,3095160,NA,3095160,3095160,NA,3095160,Football
52390,2018,100654,Alabama A & M University,Normal,AL,35762,2,NCAA Division I-FCS,1899,2798,4697,1,"Public, 4-year or above",7,101,0,6471494,NA,6471494,6378354,NA,6378354,Football
70162,2019,100654,Alabama A & M University,Normal,AL,35762,2,NCAA Division I-FCS,1951,3024,4975,1,"Public, 4-year or above",7,103,0,4991965,NA,4991965,4991965,NA,4991965,Football
33,2015,100724,Alabama State University,Montgomery,AL,361040271,2,NCAA Division I-FCS,1679,2698,4377,1,"Public, 4-year or above",7,90,0,5131957,NA,5131957,2944115,NA,2944115,Football
17379,2016,100724,Alabama State University,Montgomery,AL,36104,2,NCAA Division I-FCS,1646,2716,4362,1,"Public, 4-year or above",7,99,0,2982550,NA,2982550,2982550,NA,2982550,Football
34794,2017,100724,Alabama State University,Montgomery,AL,36104,2,NCAA Division I-FCS,1449,2417,3866,1,"Public, 4-year or above",7,120,0,3227892,NA,3227892,3227892,NA,3227892,Football
52423,2018,100724,Alabama State University,Montgomery,AL,36104,2,NCAA Division I-FCS,1332,2311,3643,1,"Public, 4-year or above",7,127,0,3622267,NA,3622267,3622267,NA,3622267,Football
