,movie_name,release_year,director,age_difference,couple_number,older_actor_1_name,younger_actor_2_name,older_character_1_gender,younger_character_2_gender,actor_1_birthdate,actor_2_birthdate,older_actor_1_age,younger_actor_2_age
1,Harold and Maude,1971,Hal Ashby,52,1,Ruth Gordon,Bud Cort,woman,man,1896-10-30,3/29/48,75,23
2,Venus,2006,Roger Michell,50,1,Peter O'Toole,Jodie Whittaker,man,woman,8/2/32,6/3/82,74,24
3,The Quiet American,2002,Phillip Noyce,49,1,Michael Caine,Do Thi Hai Yen,man,woman,3/14/33,10/1/82,69,20
4,The Big Lebowski,1998,Joel Coen,45,1,David Huddleston,Tara Reid,man,woman,9/17/30,11/8/75,68,23
5,Beginners,2010,Mike Mills,43,1,Christopher Plummer,Goran Visnjic,man,man,12/13/29,9/9/72,81,38
6,Poison Ivy,1992,Katt Shea,42,1,Tom Skerritt,Drew Barrymore,man,woman,8/25/33,2/22/75,59,17
7,Whatever Works,2009,Woody Allen,40,1,Larry David,Evan Rachel Wood,man,woman,7/2/47,9/7/87,62,22
8,Entrapment,1999,Jon Amiel,39,1,Sean Connery,Catherine Zeta-Jones,man,woman,8/25/30,9/25/69,69,30
9,Husbands and Wives,1992,Woody Allen,38,1,Woody Allen,Juliette Lewis,man,woman,12/1/35,6/21/73,57,19
10,Magnolia,1999,Paul Thomas Anderson,38,1,Jason Robards,Julianne Moore,man,woman,7/26/22,12/3/60,77,39
11,Indiana Jones and the Last Crusade,1989,Steven Spielberg,36,1,Sean Connery,Alison Doody,man,woman,8/25/30,3/9/66,59,23
12,Mr. Peabody and the Mermaid,1948,Irving Pichel,36,1,William Powell,Ann Blyth,man,woman,1892-06-29,8/16/28,56,20
13,First Knight,1995,Jerry Zucker,35,1,Sean Connery,Julia Ormond,man,woman,8/25/30,1/4/65,65,30
14,Something's Gotta Give,2003,Nancy Meyers,35,1,Jack Nicholson,Amanda Peet,man,woman,4/22/37,1/11/72,66,31
15,Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,34,1,Tom Wilkinson,Kirsten Dunst,man,woman,2/5/48,4/30/82,56,22
16,Lost in Translation,2003,Sofia Coppola,34,1,Bill Murray,Scarlett Johansson,man,woman,9/21/50,11/22/84,53,19
17,Shopgirl,2005,Anand Tucker,34,1,Steve Martin,Claire Danes,man,woman,8/14/45,4/12/79,60,26
18,Wild Target,2010,Jonathan Lynn,34,1,Bill Nighy,Emily Blunt,man,woman,12/12/49,2/23/83,61,27
19,"Fort Apache, The Bronx",1981,Daniel Petrie,33,1,Paul Newman,Rachel Ticotin,man,woman,1/26/25,11/1/58,56,23
20,Hollywood Ending,2002,Woody Allen,33,1,Woody Allen,Debra Messing,man,woman,12/1/35,8/15/68,67,34
21,The Mother,2003,Roger Michell,33,1,Anne Reid,Daniel Craig,woman,man,5/28/35,3/2/68,68,35
22,Daddy Long Legs,1955,Jean Negulesco,32,1,Fred Astaire,Leslie Caron,man,woman,1899-05-10,7/1/31,56,24
23,Lolita,1997,Adrian Lyne,32,1,Jeremy Irons,Dominique Swain,man,woman,9/19/48,8/12/80,49,17
24,Mighty Aphrodite,1995,Woody Allen,32,1,Woody Allen,Mira Sorvino,man,woman,12/1/35,9/28/67,60,28
25,Stone,2010,John Curran,32,1,Robert De Niro,Milla Jovovich,man,woman,8/18/43,12/17/75,67,35
26,The Private Lives of Pippa Lee,2009,Rebecca Miller,32,1,Alan Arkin,Robin Wright,man,woman,3/26/34,4/8/66,75,43
27,Third Person,2013,Paul Haggis,32,1,Liam Neeson,Olivia Wilde,man,woman,6/7/52,3/10/84,61,29
28,Elegy,2008,Isabel Coixet,31,1,Ben Kingsley,Penelope Cruz,man,woman,12/31/43,4/28/74,65,34
29,Mighty Aphrodite,1995,Woody Allen,31,2,Woody Allen,Helena Bonham Carter,man,woman,12/1/35,5/26/66,60,29
