,date,dayOfWeek,high,low,precipitation,brooklynB,manhattanB,williamsburgB,queensboroB,total,typeOfDay,dry,holiday
1,1-Apr,Saturday,46,37,0,606,1446,1915,1430,5397,weekend,yes,no
2,2-Apr,Sunday,62.1,41,0,2021,3943,4207,2862,13033,weekend,yes,no
3,3-Apr,Monday,63,50,0.03,2470,4988,5178,3689,16325,weekday,no,no
4,4-Apr,Tuesday,51.1,46,1.18,723,1913,2279,1666,6581,weekday,no,no
5,5-Apr,Wednesday,63,46,0,2807,5276,5711,4197,17991,weekday,yes,no
6,6-Apr,Thursday,48.9,41,0.73,461,1324,1739,1372,4896,weekday,no,no
7,7-Apr,Friday,48,43,0,1222,2955,3399,2765,10341,weekday,yes,no
8,8-Apr,Saturday,55.9,39.9,0,1674,3163,4082,2691,11610,weekend,yes,no
9,9-Apr,Sunday,66,45,0,2375,4377,4886,3261,14899,weekend,yes,no
10,10-Apr,Monday,73.9,55,0,3324,6359,6881,4731,21295,weekday,yes,no
11,11-Apr,Tuesday,80.1,62.1,0,3887,7247,8079,5501,24714,weekday,yes,no
12,12-Apr,Wednesday,73.9,57.9,0.02,2565,5633,6620,4537,19355,weekday,no,no
13,13-Apr,Thursday,64,48.9,0,3353,6052,6775,4700,20880,weekday,yes,no
14,14-Apr,Friday,64.9,48.9,0,2942,5054,5877,4142,18015,weekday,yes,no
15,15-Apr,Saturday,64.9,52,0,2253,3853,4965,3291,14362,weekend,yes,no
16,16-Apr,Sunday,84.9,62.1,0,2877,4585,5259,3687,16408,weekend,yes,no
17,17-Apr,Monday,73.9,64,0,3152,6352,6924,4658,21086,weekday,yes,no
18,18-Apr,Tuesday,66,50,0,3415,6691,7341,5012,22459,weekday,yes,no
19,19-Apr,Wednesday,52,45,0,1965,4632,5234,3996,15827,weekday,yes,no
20,20-Apr,Thursday,64.9,50,0.17,1567,3365,4302,3056,12290,weekday,no,no
21,21-Apr,Friday,53.1,48,0.29,1426,3142,3674,2672,10914,weekday,no,no
22,22-Apr,Saturday,55.9,52,0.11,1318,2297,2963,2366,8944,weekend,no,no
23,23-Apr,Sunday,64.9,46.9,0,2520,4681,5105,3434,15740,weekend,yes,no
24,24-Apr,Monday,60.1,50,0,2544,5366,5762,4183,17855,weekday,yes,no
25,25-Apr,Tuesday,54,50,0.91,611,1402,1902,1578,5493,weekday,no,no
26,26-Apr,Wednesday,59,54,0.34,1247,2774,3429,2369,9819,weekday,no,no
27,27-Apr,Thursday,68,59,0,2959,5311,6026,4285,18581,weekday,yes,no
28,28-Apr,Friday,82.9,57.9,0,3679,6774,7196,5138,22787,weekday,yes,no
29,29-Apr,Saturday,84,64,0.06,3315,5605,6045,4078,19043,weekend,no,no
30,30-Apr,Sunday,64,54,0,2225,4057,4513,3137,13932,weekend,yes,no
31,1-May,Monday,72,50,0,3084,6506,6793,4820,21203,weekday,yes,no
32,2-May,Tuesday,73.9,66.9,0,3423,7035,7789,5449,23696,weekday,yes,no
33,3-May,Wednesday,64.9,57.9,0,3342,6984,7445,4804,22575,weekday,yes,no
34,4-May,Thursday,63,50,0,3019,6525,6922,5144,21610,weekday,yes,no
35,5-May,Friday,59,52,3.02,513,1471,1951,1421,5356,weekday,no,no
36,6-May,Saturday,64.9,57,0.18,1892,3815,5502,3965,15174,weekend,no,no
37,7-May,Sunday,54,48.9,0.01,3539,3547,4941,3851,15878,weekend,no,no
38,8-May,Monday,57,45,0,2886,5812,6249,4432,19379,weekday,yes,no
39,9-May,Tuesday,61,48,0,2718,6455,6910,5000,21083,weekday,yes,no
40,10-May,Wednesday,70,51.1,0,2810,6396,7075,4980,21261,weekday,yes,no
41,11-May,Thursday,61,51.8,0,2657,6179,6750,5139,20725,weekday,yes,no
42,12-May,Friday,62.1,51.1,0,2640,5367,6325,4692,19024,weekday,yes,no
43,13-May,Saturday,51.1,45,1.31,151,484,874,865,2374,weekend,no,no
44,14-May,Sunday,64.9,46,0.02,1452,2704,3320,2389,9865,weekend,no,no
45,15-May,Monday,66.9,55.9,0,2685,5865,5981,4550,19081,weekday,yes,no
46,16-May,Tuesday,78.1,57.9,0,3666,7847,8420,6209,26142,weekday,yes,no
47,17-May,Wednesday,90,66,0,3535,7888,8540,6121,26084,weekday,yes,no
48,18-May,Thursday,91.9,75,0,3190,6886,7645,5753,23474,weekday,yes,no
49,19-May,Friday,90,75.9,0,2952,6432,6859,5272,21515,weekday,yes,no
50,20-May,Saturday,64,55.9,0.01,2161,3896,5198,3910,15165,weekend,no,no
51,21-May,Sunday,66.9,55,0,2612,4656,5634,3782,16684,weekend,yes,no
52,22-May,Monday,61,54,0.59,768,1633,2116,1609,6126,weekday,no,no
53,23-May,Tuesday,68,57.9,0,3174,6715,7011,4899,21799,weekday,yes,no
54,24-May,Wednesday,66.9,57,0.04,2969,6005,6872,4344,20190,weekday,no,no
55,25-May,Thursday,57.9,55.9,0.58,488,1196,1789,1316,4789,weekday,no,no
56,26-May,Friday,73,55.9,0.1,2590,4563,5344,3642,16139,weekday,no,no
57,27-May,Saturday,71.1,61,0,2609,4013,6105,3703,16430,weekend,yes,no
58,28-May,Sunday,71.1,59,0,2640,4048,5456,3549,15693,weekend,yes,no
59,29-May,Monday,57.9,55.9,0.13,836,1730,2738,1704,7008,weekday,no,yes
60,30-May,Tuesday,59,55.9,0.06,2301,5366,5938,4431,18036,weekday,no,no
61,31-May,Wednesday,75,57.9,0.03,2689,5717,6523,4575,19504,weekday,no,no
62,1-Jun,Thursday,78.1,62.1,0,3468,7328,8461,6184,25441,weekday,yes,no
63,2-Jun,Friday,73.9,60.1,0.01,3271,7007,7968,5293,23539,weekday,no,no
64,3-Jun,Saturday,72,55,0.01,2589,4510,6210,4084,17393,weekend,no,no
65,4-Jun,Sunday,68,60.1,0.09,1805,3127,4023,3023,11978,weekend,no,no
66,5-Jun,Monday,66.9,60.1,0.02,2171,4552,5276,3359,15358,weekday,no,no
67,6-Jun,Tuesday,55.9,53.1,0.06,1193,3021,3807,2572,10593,weekday,no,no
68,7-Jun,Wednesday,66.9,54,0,3211,7180,7632,5072,23095,weekday,yes,no
69,8-Jun,Thursday,68,59,0,3253,7083,7778,5288,23402,weekday,yes,no
70,9-Jun,Friday,80.1,59,0,3401,6859,7744,5155,23159,weekday,yes,no
71,10-Jun,Saturday,84,68,0,3066,5193,6391,4425,19075,weekend,yes,no
72,11-Jun,Sunday,90,73,0,2465,4388,5153,3178,15184,weekend,yes,no
73,12-Jun,Monday,91.9,77,0,2854,6265,7049,5032,21200,weekday,yes,no
74,13-Jun,Tuesday,93.9,78.1,0,2882,6141,7155,5399,21577,weekday,yes,no
75,14-Jun,Wednesday,84,69.1,0.29,2596,5630,6619,5152,19997,weekday,no,no
