Heart Rate,zero tolerance,Political ,What is your favorite subject,How many siblings ,ready in the morning,hours sleep,pairs of shoes,What is your shoe size,Have you ever traveled abroad ,countries visited,states visited,Favorite kind of pet,number of pets
52,Yes,3,History,1,10,7,3,15,No,1,10,Dog,1
88,Yes,3,History,3,15,7,4,10.5,Yes,6,8,Dog,0
65,Depends,3,Art,2,45,9,6,5,Yes,10,4,Cat,3
74,No,4,History,3,20,7,6,10,Yes,3,13,Dog,1
60,No,1,English,1,45,7,3,9,Yes,3,2,Dog,1
80,No,1,English,1,15,8,13,9.5,Yes,3,10,Dog,1
61,Yes,4,English,5,15,9,10,10.5,No,1,17,Dog,1
100,No,2,Language,3,15,6,8,10,Yes,9,11,Cat,0
97,Yes,3,Math,0,30,6,50,15,Yes,1,5,Dog,0
56,Yes,2,Art,1,20,6,8,8.5,Yes,8,8,Dog,4
78,Yes,2,Math,0,20,7,9,8,Yes,5,8,Dog,1
63,No,2,English,1,15,6.5,13,13,Yes,4,22,Dog,1
70,No,3,Math,2,20,7,5,12,Yes,7,6,Dog,0
44,No,1,English,2,15,7,,,Yes,7,16,Cat,3
78,No,1,English,5,10,6,6,10,Yes,16,15,Dog,1
60,No,2,History,2,15,8,8,10,Yes,10,45,Dog,4
195,Yes,4,History,4,5,7,8,13,Yes,1,35,Dog,3
,No,2,History,2,30,8,7,7,No,1,10,Dog,1
3500,No,3,English,1,20,8,4,9.5,Yes,21,32,Dog,3
68,Depends,1,Science,3,30,7,a lot,9,Yes,2,15,Dog,1
72,Yes,3,History,2,5,9,6,10,Yes,8,17,Dog,1
82,No,2,Science,2,5,6,6,9,No,1,24,Dog,1
60,Yes,1,English,2,40,8,6,10.5,Yes,1,30,Rock,0
90,Yes,4,English,1,30,8,10,8.5,Yes,6,36,Dog,1
65,Yes,2,Math,1,60,7,14,12,No,0,19,Dog,1
195,Yes,4,History,4,5,7,8,13,Yes,1,35,Dog,3
