SampleID,Zip Code,Ward,FirstDraw,45secflushing,2minflushing
1,48504,6,0.34,0.226,0.145
2,48507,9,8.13,10.77,2.761
4,48504,1,1.11,0.11,0.123
5,48507,8,8.01,7.446,3.384
6,48505,3,1.95,0.048,0.035
7,48507,9,7.20,1.4,0.2
8,48507,9,40.63,9.726,6.132
9,48503,5,1.10,2.5,0.1
12,48507,9,10.60,1.038,1.294
13,48505,3,6.20,4.2,2.3
15,48507,9,4.36,0.822,0.147
16,48505,5,24.37,8.796,4.347
17,48505,2,6.61,5.752,1.433
18,48503,7,4.06,1.099,1.085
19,48507,9,2.48,0.72,0.565
20,48507,9,0.44,1.046,0.511
21,48503,5,1.29,0.243,0.225
22,48504,6,0.55,0.622,0.361
23,48504,2,3.13,0.674,0.683
24,48504,6,120.00,239.7,29.71
25,48505,1,2.91,0.406,0.237
26,48505,5,16.52,10.26,2.762
27,48505,1,1.98,1.13,0.712
28,48503,7,5.37,2.474,1.616
29,48504,2,5.50,8.4,2.4
30,48506,4,0.64,0.223,0.194
31,48503,7,6.09,28.87,2.13
31,48503,7,10.32,13.47,18.19
33,48503,6,66.88,2.662,2.082
34,48505,1,20.41,3.543,2.344
35,48504,6,109.60,80.47,94.52
36,48503,8,5.06,3.406,4.088
37,48504,2,2.77,0.21,0.264
38,48505,3,4.45,3.679,3.523
39,48505,1,0.40,0.3,0.7
40,48529,9,0.97,0.142,0.118
41,48505,5,3.23,2.534,2.222
42,48505,2,12.55,4.132,0.12
43,48505,3,0.50,0.156,15.14
44,48504,2,2.45,0.373,0.288
45,48505,3,5.51,5.157,2.621
46,48504,6,1.29,0.441,0.281
47,48505,1,4.70,1.395,0.329
48,48504,6,6.09,2.682,1.458
49,48504,2,0.80,0.8,0.5
50,48503,5,1.63,1.332,0.327
51,48507,8,2.58,2.852,1.48
52,48504,1,2.36,0.467,0.339
53,48503,5,1.59,0.494,1.232
54,48506,4,3.06,1.808,1.169
55,48506,4,2.42,0.393,0.373
56,48503,8,30.91,42.58,44.6
57,48503,8,4.47,3.649,1
58,48505,1,2.17,1.76,1.44
59,48505,3,1.80,0.5,0.2
63,48503,5,0.97,0.166,0.319
65,48505,1,7.64,5.206,9.239
66,48506,3,3.16,1.948,2.802
67,48503,7,105.30,12.84,4.534
68,48506,3,4.48,0.355,0.334
69,48504,1,2.83,6.694,20.99
71,48503,5,2.48,3.86,24.64
72,48507,5,11.52,0.288,0.215
73,48507,8,3.78,0.292,0.258
74,48503,5,1.34,0.729,1.226
75,48504,6,11.93,9.645,3.514
76,48507,9,10.96,7.744,4.16
77,48504,6,3.34,0.555,0.917
78,48503,5,1.23,1.192,0.218
79,48503,6,6.30,1.1,0.3
79,48503,6,5.15,0.385,0.322
80,48504,6,6.05,0.927,0.676
82,48504,2,31.14,4.73,3.188
83,48504,6,102.70,9.894,3.133
84,48504,2,1.38,3.734,0.524
85,48505,3,1.13,2.17,0.465
87,48507,9,3.23,2.989,1.927
88,48532,8,0.51,2.315,0.231
90,48506,4,8.56,5.141,4.724
91,48505,3,10.00,0.983,0.611
92,48504,1,4.15,0.758,0.433
93,48504,2,75.82,11.65,3.942
95,48506,4,138.80,2.745,0.797
96,48507,9,0.80,0.2,0.2
97,48504,2,7.24,1051,1.328
98,48506,3,1.62,0.3,0.238
99,48505,1,1.03,0.363,0.216
100,48504,2,0.87,0.292,0.269
101,48504,2,2.53,0.59,0.438
102,48505,5,9.41,4.444,3.935
103,48505,0,0.74,4.883,0.953
104,48505,1,0.90,0.2,0.1
105,48504,2,1.40,0.142,0.121
106,48503,8,5.66,5.882,10.66
107,48505,2,31.06,8.578,3.176
108,48506,4,1.47,0.291,0.25
109,48505,1,23.85,2.301,1.62
110,48505,2,9.77,11.13,7.144
111,48505,1,4.69,0.953,0.929
112,48505,3,4.07,5.894,4.76
113,48505,1,0.85,0.455,0.366
114,48505,1,2.05,3.978,0.355
115,48506,7,3.74,5.592,2.476
116,48507,9,12.90,2.202,1.667
117,48505,1,0.54,0.183,0.162
118,48503,7,6.88,2.984,2.201
119,48505,1,0.55,0.19,0.205
121,48506,3,59.00,2.9,0.5
122,48506,4,0.35,0.13,0.131
123,48506,4,4.76,1.388,1.06
124,48506,4,0.83,0.284,0.214
125,48506,4,1.22,0.568,0.465
126,48507,9,15.90,3.7,2.2
127,48506,4,5.67,1.405,0.896
128,48506,4,3.56,2.767,2.127
129,48506,4,0.48,0.2,0.268
130,48507,9,5.30,0.5,0.2
131,48506,4,1.17,0.736,0.269
132,48506,4,0.68,0.306,0.094
133,48503,8,6.35,1.724,0.678
134,48507,9,10.56,5.672,4.813
135,48502,5,2.27,2.808,3.048
136,48505,1,1.57,1.265,0.316
137,48503,8,5.40,4.196,1.945
138,48504,6,43.19,7.688,4.39
139,48503,8,1.49,1.409,0.378
140,48503,5,66.24,17.75,8.815
141,48505,1,1.80,0.032,0.031
142,48503,8,1.86,1.355,0.64
143,48503,8,2.67,2.001,1.094
144,48505,1,3.74,1.211,0.258
145,48506,4,1.93,0.374,0.424
146,48506,4,27.05,0.902,0.61
147,48506,4,1.17,0.291,4.055
148,48507,9,2.33,1.099,0.466
149,48506,4,1.97,0.253,0.201
150,48506,4,1.96,0.438,0.448
151,48506,4,0.82,1.881,0.412
152,48506,4,11.20,7.553,12.21
153,48504,2,5.67,3.341,3.268
154,48506,4,6.26,1.316,0.5
155,48506,4,4.80,1.594,1.264
156,48506,4,0.64,0.905,0.151
158,48507,9,8.71,2.799,50.97
159,48507,9,2.54,1.099,0.498
161,48507,9,0.41,0.096,0.116
162,48503,7,32.85,35.76,9.103
163,48503,7,12.87,14.87,6.326
164,48503,8,38.02,38.7,38.94
165,48507,9,2.44,8.183,1.296
166,48507,9,3.00,1.867,1.512
167,48507,9,11.00,10.53,8.688
168,48507,9,6.22,12.33,4.202
169,48503,8,8.80,3.1,4.5
