date,average_price,total_volume,4046,4225,4770,total_bags,small_bags,large_bags,xlarge_bags,type,year,region
1/4/15,0.93,5777334.9,2843648.26,2267755.26,137479.64,528451.74,477193.38,47882.56,3375.8,conventional,2015,California
1/4/15,1.24,142349.77,107490.73,25711.96,2.93,9144.15,9144.15,0,0,organic,2015,California
1/4/15,1.02,3382800.12,467259.47,2059657.71,318102.38,537780.56,412779.64,111072.91,13928.01,conventional,2015,Great Lakes
1/4/15,1.54,61615.1,3633.93,42963.06,0,15018.11,9763.55,5254.56,0,organic,2015,Great Lakes
1/4/15,1.1,2578275.12,575245.44,1311502.53,181058.65,510468.5,429166.89,80986.81,314.8,conventional,2015,Midsouth
1/4/15,1.56,58065.35,10049.66,25228.37,3672.89,19114.43,17280.89,1833.54,0,organic,2015,Midsouth
1/4/15,1.09,3759282.62,126640.65,2860709.93,7580.38,764351.66,669970.5,94381.16,0,conventional,2015,Northeast
1/4/15,1.88,48280.46,4476.73,22389.09,23.15,21391.49,21379.79,11.7,0,organic,2015,Northeast
1/4/15,1.01,1683795.3,1027842.3,466641.12,10476.89,178834.99,177360.2,440.57,1034.22,conventional,2015,Plains
1/4/15,1.69,34190.37,3874.31,14945.34,32.45,15338.27,13793.22,1545.05,0,organic,2015,Plains
1/4/15,0.77,5144267.01,2745009.1,1755142.21,73432.89,570682.81,442217.85,128451.37,13.59,conventional,2015,South Central
1/4/15,1.35,53494.91,24139.72,8586.46,0,20768.73,20622.28,146.45,0,organic,2015,South Central
1/4/15,0.98,3204112.16,2296069.27,320373.63,18938.42,568730.84,287820.14,280910.7,0,conventional,2015,Southeast
1/4/15,1.75,27365.89,9307.34,3844.81,615.28,13598.46,13061.1,537.36,0,organic,2015,Southeast
1/4/15,0.89,5794410.58,2275446.87,2582300.65,97024.09,839638.97,688813.01,150819.57,6.39,conventional,2015,West
1/4/15,1.4,187548.3,70313.71,72942.11,24.3,44268.18,10023.72,34244.46,0,organic,2015,West
1/11/15,0.92,6024932.34,2889591.29,2485720.1,103573.42,546047.53,510560.41,31874.03,3613.09,conventional,2015,California
1/11/15,1.1,158110.68,123712.51,25975.27,1.47,8421.43,8421.43,0,0,organic,2015,California
1/11/15,1.1,3067638.32,416900.3,1818618.04,316856.73,515263.25,412976.97,91214.54,11071.74,conventional,2015,Great Lakes
