date,average_price,total_volume,4046,4225,4770,total_bags,small_bags,large_bags,xlarge_bags,type,year,geography
5/6/18,0.89,63716144.15,21137400.46,19900871.87,1052499.15,21625372.67,15436246.72,5840414.83,348711.12,conventional,2018,Total U.S.
2/2/20,0.85,63428864.75,17494332.27,13036382.62,1205863.48,31689188.6,17403574.03,13327600.76,958013.81,conventional,2020,Total U.S.
2/4/18,0.87,62505646.52,21620180.9,20445501.03,1066830.22,19373134.37,13384586.8,5719096.61,269450.96,conventional,2018,Total U.S.
2/3/19,0.84,62451514.93,19498919.53,17887806.52,1591800.19,23472988.69,15264523.33,7864297.23,344168.13,conventional,2019,Total U.S.
5/3/20,1.03,62179375.21,19308947.82,11026477.94,715301.95,31128390.35,20550406.59,9682198.81,895784.95,conventional,2020,Total U.S.
2/5/17,0.77,61034457.1,22743616.17,20328161.55,1664383.09,16298296.29,12567155.58,3618270.75,112869.96,conventional,2017,Total U.S.
5/10/20,1.09,58463220.4,17894355.35,11123423.38,837609.43,28607617.88,18739691.34,8992205.32,875721.22,conventional,2020,Total U.S.
5/31/20,1.07,57509313,16286759,11346382,887011,28989020,18664351,9081422,1243247,conventional,2020,Total U.S.
5/24/20,1.11,56769152,17107525,9947892,854508,28858999,18426503,9218375,1214120,conventional,2020,Total U.S.
7/5/20,1.06,55608056.7,16678146.96,9939269.55,1060183.59,27930345.43,18487694.16,8039467.23,1403184.04,conventional,2020,Total U.S.
6/14/20,1.06,55007945,15510458,11019342,978710,27499330,17969207,8331756,1198367,conventional,2020,Total U.S.
6/7/20,1.08,54532348,16718884,9757798,1100945,26954602,17522596,8376733,1055273,conventional,2020,Total U.S.
2/7/16,0.76,52288697.89,16573573.78,20470572.61,2546439.11,12698112.39,9083373.04,3373077.87,241661.48,conventional,2016,Total U.S.
6/21/20,1.08,52151483.63,15717883.16,9295727.67,950151.32,26187642.59,17715891.54,7164224.45,1307526.6,conventional,2020,Total U.S.
7/26/20,0.99,52057098.76,15169236.51,9651068.44,1134315.05,26102350.94,16765180.32,8237758.57,1099412.05,conventional,2020,Total U.S.
4/26/20,1.15,52015534.19,15237698.67,10580031.68,740327.93,25457282.76,16664184.93,7797364.59,995733.24,conventional,2020,Total U.S.
8/23/20,0.96,51973374,14803098.88,8762148.92,852990.92,27554963.14,17865770.22,8887592.24,801600.68,conventional,2020,Total U.S.
7/19/20,1.01,51962253.46,14222876.95,9856363.24,1213972.61,26668837.25,16933310.41,8622284.79,1113242.05,conventional,2020,Total U.S.
6/28/20,1.04,51723709.35,14685424.96,9247457.73,927273.16,26863384.78,17913818.66,7768050.22,1181515.9,conventional,2020,Total U.S.
5/17/20,1.16,51690121.14,15951219.72,9221698.67,728025.52,25788840.09,16896405.58,7972084.51,920350,conventional,2020,Total U.S.
3/15/20,1.16,51540125.03,14968568.53,8766717.02,452355.38,27352451.88,16100499.57,10631015.21,620937.1,conventional,2020,Total U.S.
7/12/20,1.04,51081492.98,14418172.99,9424287.44,922494.66,26316384.15,16876196.39,8388109.49,1052078.27,conventional,2020,Total U.S.
9/6/20,0.97,51000908.97,14687222.55,8956685.23,793982.21,26562812.83,17244012.23,8568613.62,750186.98,conventional,2020,Total U.S.
8/16/20,0.98,50813602.8,14074482.21,9665480.61,793920.82,26279531.01,16868011.74,8677563.53,733955.74,conventional,2020,Total U.S.
8/30/20,0.95,50629756.96,14004360.25,9228077.74,810538.58,26586634.69,16888980.07,9010325.93,687328.69,conventional,2020,Total U.S.
4/5/20,1.15,50361125.91,16273297.88,9157284.74,486270.26,24444067.4,16146224.38,7530461.91,767381.11,conventional,2020,Total U.S.
4/19/20,1.14,50089191.6,15371297.43,8761487.94,661170.02,25295051.04,16144250.94,8128235.6,1022564.5,conventional,2020,Total U.S.
8/9/20,1.01,49948467.53,13513740.15,9764852.28,830358.97,25839422.61,16843684.44,8164953.84,830784.33,conventional,2020,Total U.S.
8/2/20,1.01,49849471.46,13724124.47,9268799.84,804153.36,26052277.82,16792674.19,8136063.35,1123540.28,conventional,2020,Total U.S.
