,X,title,year,runtime,genre1,certificate,rating,director,cast,gross,votes
2,2,Alrededor de la medianoche,1986,133,Drama,PG,7.4,Bertrand Tavernier,Dexter Gordon|François Cluzet|Gabrielle Haker|Sandra Reaves-Phillips,3272600,4351
3,3,Hasta que te encontré,1997,113,Romance,PG-13,4.8,Scott Winant,Jeanne Tripplehorn|Dylan McDermott|John Plumpis|Janel Moloney,3478370,2558
4,4,Buenas noches madre,1986,96,Drama,PG-13,7.6,Tom Moore,Sissy Spacek|Anne Bancroft|Ed Berke|Carol Robbins,441863,1991
5,5,Nuestros maravillosos aliados,1987,106,Comedy,PG-13,6.7,Matthew Robbins,Hume Cronyn|Jessica Tandy|Frank McRae|Elizabeth Peña,32945797,29310
8,8,10 la mujer perfecta,1979,122,Comedy,R,6.1,Blake Edwards,Dudley Moore|Bo Derek|Julie Andrews|Robert Webber,74865517,14280
9,9,Calle Cloverfield 10,2016,103,Drama,PG,7.2,Dan Trachtenberg,John Goodman|Mary Elizabeth Winstead|John Gallagher Jr.|Douglas M. Griffin,72082998,268516
10,10,Dame 10 razones,2006,82,Comedy,PG,6.6,Brad Silberling,Morgan Freeman|Paz Vega|Jonah Hill|Anne Dudek,81416,13898
11,11,10 razones para odiarte,1999,97,Comedy,PG-13,7.3,Gil Junger,Heath Ledger|Julia Stiles|Joseph Gordon-Levitt|Larisa Oleynik,38176108,276118
12,12,10 Anos Depois,2011,100,Comedy,PG-13,6.1,Jamie Linden,Channing Tatum|Rosario Dawson|Chris Pratt|Jenna Dewan,203373,22806
13,13,Al filo de la medianoche,1983,101,Crime,R,6.3,J. Lee Thompson,Charles Bronson|Lisa Eilbacher|Andrew Stevens|Gene Davis,7100000,6017
14,14,10,2008,109,Action,PG,5.1,Roland Emmerich,Camilla Belle|Steven Strait|Marco Khan|Cliff Curtis,94784201,121354
17,17,101 dálmatas (¡Más vivos que nunca!),1996,103,Adventure,PG-13,5.7,Stephen Herek,Glenn Close|Jeff Daniels|Joely Richardson|Joan Plowright,136189294,94779
22,22,Doce monos,1995,129,Mystery,PG-13,8,Terry Gilliam,Bruce Willis|Madeleine Stowe|Brad Pitt|Joseph Melito,57141459,547856
23,23,12 trampas,2009,108,Action,PG,5.6,Renny Harlin,John Cena|Ashley Scott|Aidan Gillen|Steve Harris,12232937,26258
24,24,127 horas,2010,94,Biography,PG,7.6,Danny Boyle,James Franco|Amber Tamblyn|Kate Mara|Sean Bott,18335230,330076
27,27,El sueño de mi vida,2004,98,Comedy,PG,6.1,Gary Winick,Jennifer Garner|Mark Ruffalo|Judy Greer|Andy Serkis,57231747,153762
29,29,1408,2007,104,Fantasy,PG-13,6.8,Mikael Håfström,John Cusack|Samuel L. Jackson|Mary McCormack|Tony Shalhoub,71985628,245313
30,30,1492: La conquista del paraíso,1992,154,Adventure,PG-13,6.5,Ridley Scott,Gérard Depardieu|Armand Assante|Sigourney Weaver|Loren Dean,7191399,26586
31,31,15 minutos,2001,120,Action,R,6.1,John Herzfeld,Robert De Niro|Edward Burns|Kelsey Grammer|Avery Brooks,24403552,46889
32,32,16 calles,2006,102,Action,PG,6.6,Richard Donner,Bruce Willis|Yasiin Bey|David Morse|Jenna Stern,36883539,122844
34,34,17 otra vez,2009,102,Comedy,PG-13,6.3,Burr Steers,Zac Efron|Matthew Perry|Leslie Mann|Thomas Lennon,64167069,170188
36,36,1776,1972,141,Drama,G,7.6,Peter H. Hunt,William Daniels|Howard Da Silva|Ken Howard|Donald Madden,6104000,7265
37,37,Plantón al cielo,1988,93,Comedy,PG-13,5.8,Paul Flaherty,Charlie Schlatter|George Burns|Tony Roberts|Anita Morris,2567099,3974
39,39,1941,1979,118,Action,PG-13,5.8,Steven Spielberg,John Belushi|Dan Aykroyd|Treat Williams|Nancy Allen,31755742,29714
40,40,1969,1988,95,Drama,PG-13,5.8,Ernest Thompson,Robert Downey Jr.|Kiefer Sutherland|Bruce Dern|Mariette Hartley,5979011,3413
41,41,1984,1984,113,Drama,PG-13,7.1,Michael Radford,John Hurt|Richard Burton|Suzanna Hamilton|Cyril Cusack,8400000,61485
43,43,Dos días en Nueva York,2012,96,Comedy,PG,6,Julie Delpy,Julie Delpy|Chris Rock|Albert Delpy|Alexia Landeau,632824,13443
44,44,2 días en París,2007,96,Comedy,PG,6.8,Julie Delpy,Julie Delpy|Adam Goldberg|Daniel Brühl|Marie Pillet,4432981,29285
45,45,Dos días en el valle,1996,104,Comedy,R,6.5,John Herzfeld,Teri Hatcher|Jeff Daniels|Danny Aiello|Charlize Theron,11114000,17613
46,46,2 Fast 2 Furious: A todo gas 2,2003,107,Action,PG-13,5.9,John Singleton,Paul Walker|Tyrese Gibson|Cole Hauser|Eva Mendes,127154901,237011
48,48,200 cigarrillos,1999,101,Comedy,R,6,Risa Bramon Garcia,Ben Affleck|Casey Affleck|Dave Chappelle|Guillermo Díaz,6851636,14200
51,51,2010: Odisea dos,1984,116,Adventure,PG,6.8,Peter Hyams,Roy Scheider|John Lithgow|Helen Mirren|Bob Balaban,40200000,47451
52,52,2012,2009,158,Action,PG,5.8,Roland Emmerich,John Cusack|Thandie Newton|Chiwetel Ejiofor|Amanda Peet,166112167,334313
53,53,21: Black Jack,2008,123,Crime,PG-13,6.8,Robert Luketic,Jim Sturgess|Kate Bosworth|Kevin Spacey|Aaron Yoo,81159365,216890
54,54,Noche de marcha,2013,93,Comedy,PG-13,5.8,Jon Lucas,Scott Moore|Miles Teller|Justin Chon|Jonathan Keltz|Sarah Wright,25682380,69591
55,55,21 gramos,2003,124,Crime,R,7.7,Alejandro G. Iñárritu,Sean Penn|Benicio Del Toro|Naomi Watts|Danny Huston,16248701,215403
56,56,Infiltrados en clase,2012,109,Action,PG,7.2,Phil Lord,Christopher Miller|Jonah Hill|Channing Tatum|Ice Cube|Brie Larson,138447667,486254
58,58,24 Hour Party People,2002,117,Biography,R,7.3,Michael Winterbottom,Steve Coogan|Lennie James|John Thomson|Paul Popplewell,1130379,31008
59,59,La última noche,2002,135,Drama,PG-13,7.6,Spike Lee,Edward Norton|Barry Pepper|Philip Seymour Hoffman|Rosario Dawson,13060843,164119
60,60,27 vestidos,2008,111,Comedy,PG-13,6.1,Anne Fletcher,Katherine Heigl|James Marsden|Malin Akerman|Brian Kerwin,76808654,147068
61,61,28 días,2000,103,Comedy,PG-13,6,Betty Thomas,Sandra Bullock|Viggo Mortensen|Dominic West|Elizabeth Perkins,37170488,41608
62,62,28 días después,2002,113,Drama,R,7.6,Danny Boyle,Cillian Murphy|Naomie Harris|Christopher Eccleston|Alex Palmer,45064915,352359
64,64,28 semanas después,2007,100,Drama,PG-13,7,Juan Carlos Fresnadillo,Jeremy Renner|Rose Byrne|Robert Carlyle|Harold Perrineau,28638916,245720
