"","TeamFan","Response","Race","Political"
"1","Arizona Cardinals","DemocratAsian","Asian","Democrat"
"2","Arizona Cardinals","DemocratAsian","Asian","Democrat"
"3","Arizona Cardinals","DemocratBlack","Black","Democrat"
"4","Arizona Cardinals","DemocratBlack","Black","Democrat"
"5","Arizona Cardinals","DemocratBlack","Black","Democrat"
"6","Arizona Cardinals","DemocratBlack","Black","Democrat"
"7","Arizona Cardinals","DemocratBlack","Black","Democrat"
"8","Arizona Cardinals","DemocratBlack","Black","Democrat"
"9","Arizona Cardinals","DemocratBlack","Black","Democrat"
"10","Arizona Cardinals","DemocratHispanic","Hispanic","Democrat"
"11","Arizona Cardinals","DemocratHispanic","Hispanic","Democrat"
"12","Arizona Cardinals","DemocratHispanic","Hispanic","Democrat"
"13","Arizona Cardinals","DemocratHispanic","Hispanic","Democrat"
"14","Arizona Cardinals","DemocratHispanic","Hispanic","Democrat"
"15","Arizona Cardinals","DemocratHispanic","Hispanic","Democrat"
"16","Arizona Cardinals","DemocratHispanic","Hispanic","Democrat"
"17","Arizona Cardinals","DemocratOther","Other","Democrat"
"18","Arizona Cardinals","DemocratOther","Other","Democrat"
"19","Arizona Cardinals","DemocratOther","Other","Democrat"
"20","Arizona Cardinals","DemocratWhite","White","Democrat"
"21","Arizona Cardinals","DemocratWhite","White","Democrat"
"22","Arizona Cardinals","DemocratWhite","White","Democrat"
"23","Arizona Cardinals","DemocratWhite","White","Democrat"
"24","Arizona Cardinals","DemocratWhite","White","Democrat"
"25","Arizona Cardinals","DemocratWhite","White","Democrat"
"26","Arizona Cardinals","DemocratWhite","White","Democrat"
"27","Arizona Cardinals","DemocratWhite","White","Democrat"
"28","Arizona Cardinals","DemocratWhite","White","Democrat"
"29","Arizona Cardinals","DemocratWhite","White","Democrat"
"30","Arizona Cardinals","DemocratWhite","White","Democrat"
"31","Arizona Cardinals","DemocratWhite","White","Democrat"
"32","Arizona Cardinals","DemocratWhite","White","Democrat"
"33","Arizona Cardinals","DemocratWhite","White","Democrat"
"34","Arizona Cardinals","DemocratWhite","White","Democrat"
"35","Arizona Cardinals","DemocratWhite","White","Democrat"
"36","Arizona Cardinals","DemocratWhite","White","Democrat"
"37","Arizona Cardinals","DemocratWhite","White","Democrat"
"38","Arizona Cardinals","DemocratWhite","White","Democrat"
"39","Arizona Cardinals","DemocratWhite","White","Democrat"
"40","Arizona Cardinals","IndependentAsian","Asian","Independent"
"41","Arizona Cardinals","IndependentAsian","Asian","Independent"
"42","Arizona Cardinals","IndependentAsian","Asian","Independent"
"43","Arizona Cardinals","IndependentAsian","Asian","Independent"
"44","Arizona Cardinals","IndependentBlack","Black","Independent"
"45","Arizona Cardinals","IndependentBlack","Black","Independent"
"46","Arizona Cardinals","IndependentBlack","Black","Independent"
"47","Arizona Cardinals","IndependentBlack","Black","Independent"
"48","Arizona Cardinals","IndependentBlack","Black","Independent"
"49","Arizona Cardinals","IndependentHispanic","Hispanic","Independent"
"50","Arizona Cardinals","IndependentHispanic","Hispanic","Independent"
"51","Arizona Cardinals","IndependentHispanic","Hispanic","Independent"
"52","Arizona Cardinals","IndependentHispanic","Hispanic","Independent"
"53","Arizona Cardinals","IndependentOther","Other","Independent"
"54","Arizona Cardinals","IndependentOther","Other","Independent"
"55","Arizona Cardinals","IndependentOther","Other","Independent"
"56","Arizona Cardinals","IndependentOther","Other","Independent"
"57","Arizona Cardinals","IndependentOther","Other","Independent"
"58","Arizona Cardinals","IndependentOther","Other","Independent"
"59","Arizona Cardinals","IndependentOther","Other","Independent"
"60","Arizona Cardinals","IndependentOther","Other","Independent"
"61","Arizona Cardinals","IndependentWhite","White","Independent"
"62","Arizona Cardinals","IndependentWhite","White","Independent"
"63","Arizona Cardinals","IndependentWhite","White","Independent"
"64","Arizona Cardinals","IndependentWhite","White","Independent"
"65","Arizona Cardinals","IndependentWhite","White","Independent"
"66","Arizona Cardinals","IndependentWhite","White","Independent"
"67","Arizona Cardinals","IndependentWhite","White","Independent"
"68","Arizona Cardinals","IndependentWhite","White","Independent"
"69","Arizona Cardinals","IndependentWhite","White","Independent"
"70","Arizona Cardinals","IndependentWhite","White","Independent"
"71","Arizona Cardinals","IndependentWhite","White","Independent"
"72","Arizona Cardinals","IndependentWhite","White","Independent"
"73","Arizona Cardinals","IndependentWhite","White","Independent"
"74","Arizona Cardinals","IndependentWhite","White","Independent"
"75","Arizona Cardinals","IndependentWhite","White","Independent"
"76","Arizona Cardinals","IndependentWhite","White","Independent"
"77","Arizona Cardinals","IndependentWhite","White","Independent"
"78","Arizona Cardinals","IndependentWhite","White","Independent"
"79","Arizona Cardinals","IndependentWhite","White","Independent"
"80","Arizona Cardinals","IndependentWhite","White","Independent"
"81","Arizona Cardinals","IndependentWhite","White","Independent"
"82","Arizona Cardinals","IndependentWhite","White","Independent"
"83","Arizona Cardinals","IndependentWhite","White","Independent"
"84","Arizona Cardinals","IndependentWhite","White","Independent"
"85","Arizona Cardinals","IndependentWhite","White","Independent"
"86","Arizona Cardinals","IndependentWhite","White","Independent"
"87","Arizona Cardinals","IndependentWhite","White","Independent"
"88","Arizona Cardinals","IndependentWhite","White","Independent"
"89","Arizona Cardinals","IndependentWhite","White","Independent"
"90","Arizona Cardinals","IndependentWhite","White","Independent"
"91","Arizona Cardinals","IndependentWhite","White","Independent"
"92","Arizona Cardinals","IndependentWhite","White","Independent"
"93","Arizona Cardinals","IndependentWhite","White","Independent"
"94","Arizona Cardinals","IndependentWhite","White","Independent"
"95","Arizona Cardinals","IndependentWhite","White","Independent"
"96","Arizona Cardinals","IndependentWhite","White","Independent"
"97","Arizona Cardinals","IndependentWhite","White","Independent"
"98","Arizona Cardinals","IndependentWhite","White","Independent"
"99","Arizona Cardinals","IndependentWhite","White","Independent"
"100","Arizona Cardinals","IndependentWhite","White","Independent"
"101","Arizona Cardinals","IndependentWhite","White","Independent"
"102","Arizona Cardinals","IndependentWhite","White","Independent"
"103","Arizona Cardinals","IndependentWhite","White","Independent"
"104","Arizona Cardinals","IndependentWhite","White","Independent"
"105","Arizona Cardinals","IndependentWhite","White","Independent"
"106","Arizona Cardinals","IndependentWhite","White","Independent"
"107","Arizona Cardinals","IndependentWhite","White","Independent"
"108","Arizona Cardinals","IndependentWhite","White","Independent"
"109","Arizona Cardinals","IndependentWhite","White","Independent"
"110","Arizona Cardinals","IndependentWhite","White","Independent"
"111","Arizona Cardinals","RepublicanBlack","Black","Republican"
"112","Arizona Cardinals","RepublicanHispanic","Hispanic","Republican"
"113","Arizona Cardinals","RepublicanHispanic","Hispanic","Republican"
"114","Arizona Cardinals","RepublicanHispanic","Hispanic","Republican"
"115","Arizona Cardinals","RepublicanHispanic","Hispanic","Republican"
"116","Arizona Cardinals","RepublicanHispanic","Hispanic","Republican"
"117","Arizona Cardinals","RepublicanOther","Other","Republican"
"118","Arizona Cardinals","RepublicanOther","Other","Republican"
"119","Arizona Cardinals","RepublicanWhite","White","Republican"
"120","Arizona Cardinals","RepublicanWhite","White","Republican"
"121","Arizona Cardinals","RepublicanWhite","White","Republican"
"122","Arizona Cardinals","RepublicanWhite","White","Republican"
"123","Arizona Cardinals","RepublicanWhite","White","Republican"
"124","Arizona Cardinals","RepublicanWhite","White","Republican"
"125","Arizona Cardinals","RepublicanWhite","White","Republican"
"126","Arizona Cardinals","RepublicanWhite","White","Republican"
"127","Arizona Cardinals","RepublicanWhite","White","Republican"
"128","Arizona Cardinals","RepublicanWhite","White","Republican"
"129","Arizona Cardinals","RepublicanWhite","White","Republican"
"130","Arizona Cardinals","RepublicanWhite","White","Republican"
"131","Arizona Cardinals","RepublicanWhite","White","Republican"
"132","Arizona Cardinals","RepublicanWhite","White","Republican"
"133","Arizona Cardinals","RepublicanWhite","White","Republican"
"134","Arizona Cardinals","RepublicanWhite","White","Republican"
"135","Arizona Cardinals","RepublicanWhite","White","Republican"
"136","Arizona Cardinals","RepublicanWhite","White","Republican"
"137","Arizona Cardinals","RepublicanWhite","White","Republican"
"138","Arizona Cardinals","RepublicanWhite","White","Republican"
"139","Arizona Cardinals","RepublicanWhite","White","Republican"
"140","Arizona Cardinals","RepublicanWhite","White","Republican"
"141","Arizona Cardinals","RepublicanWhite","White","Republican"
"142","Arizona Cardinals","RepublicanWhite","White","Republican"
"143","Arizona Cardinals","RepublicanWhite","White","Republican"
"144","Arizona Cardinals","RepublicanWhite","White","Republican"
"145","Arizona Cardinals","RepublicanWhite","White","Republican"
"146","Arizona Cardinals","RepublicanWhite","White","Republican"
"147","Arizona Cardinals","RepublicanWhite","White","Republican"
"148","Arizona Cardinals","RepublicanWhite","White","Republican"
"149","Atlanta Falcons","DemocratAsian","Asian","Democrat"
"150","Atlanta Falcons","DemocratAsian","Asian","Democrat"
"151","Atlanta Falcons","DemocratAsian","Asian","Democrat"
"152","Atlanta Falcons","DemocratBlack","Black","Democrat"
"153","Atlanta Falcons","DemocratBlack","Black","Democrat"
"154","Atlanta Falcons","DemocratBlack","Black","Democrat"
"155","Atlanta Falcons","DemocratBlack","Black","Democrat"
"156","Atlanta Falcons","DemocratBlack","Black","Democrat"
"157","Atlanta Falcons","DemocratBlack","Black","Democrat"
"158","Atlanta Falcons","DemocratBlack","Black","Democrat"
"159","Atlanta Falcons","DemocratBlack","Black","Democrat"
"160","Atlanta Falcons","DemocratBlack","Black","Democrat"
"161","Atlanta Falcons","DemocratBlack","Black","Democrat"
"162","Atlanta Falcons","DemocratBlack","Black","Democrat"
"163","Atlanta Falcons","DemocratBlack","Black","Democrat"
"164","Atlanta Falcons","DemocratBlack","Black","Democrat"
"165","Atlanta Falcons","DemocratBlack","Black","Democrat"
"166","Atlanta Falcons","DemocratBlack","Black","Democrat"
"167","Atlanta Falcons","DemocratBlack","Black","Democrat"
"168","Atlanta Falcons","DemocratBlack","Black","Democrat"
"169","Atlanta Falcons","DemocratBlack","Black","Democrat"
"170","Atlanta Falcons","DemocratBlack","Black","Democrat"
"171","Atlanta Falcons","DemocratBlack","Black","Democrat"
"172","Atlanta Falcons","DemocratBlack","Black","Democrat"
"173","Atlanta Falcons","DemocratBlack","Black","Democrat"
"174","Atlanta Falcons","DemocratBlack","Black","Democrat"
"175","Atlanta Falcons","DemocratBlack","Black","Democrat"
"176","Atlanta Falcons","DemocratBlack","Black","Democrat"
"177","Atlanta Falcons","DemocratBlack","Black","Democrat"
"178","Atlanta Falcons","DemocratBlack","Black","Democrat"
"179","Atlanta Falcons","DemocratHispanic","Hispanic","Democrat"
"180","Atlanta Falcons","DemocratHispanic","Hispanic","Democrat"
"181","Atlanta Falcons","DemocratHispanic","Hispanic","Democrat"
"182","Atlanta Falcons","DemocratHispanic","Hispanic","Democrat"
"183","Atlanta Falcons","DemocratHispanic","Hispanic","Democrat"
"184","Atlanta Falcons","DemocratOther","Other","Democrat"
"185","Atlanta Falcons","DemocratWhite","White","Democrat"
"186","Atlanta Falcons","DemocratWhite","White","Democrat"
"187","Atlanta Falcons","DemocratWhite","White","Democrat"
"188","Atlanta Falcons","DemocratWhite","White","Democrat"
"189","Atlanta Falcons","DemocratWhite","White","Democrat"
"190","Atlanta Falcons","DemocratWhite","White","Democrat"
"191","Atlanta Falcons","DemocratWhite","White","Democrat"
"192","Atlanta Falcons","DemocratWhite","White","Democrat"
"193","Atlanta Falcons","DemocratWhite","White","Democrat"
"194","Atlanta Falcons","DemocratWhite","White","Democrat"
"195","Atlanta Falcons","DemocratWhite","White","Democrat"
"196","Atlanta Falcons","DemocratWhite","White","Democrat"
"197","Atlanta Falcons","DemocratWhite","White","Democrat"
"198","Atlanta Falcons","DemocratWhite","White","Democrat"
"199","Atlanta Falcons","DemocratWhite","White","Democrat"
"200","Atlanta Falcons","DemocratWhite","White","Democrat"
"201","Atlanta Falcons","DemocratWhite","White","Democrat"
"202","Atlanta Falcons","DemocratWhite","White","Democrat"
"203","Atlanta Falcons","DemocratWhite","White","Democrat"
"204","Atlanta Falcons","DemocratWhite","White","Democrat"
"205","Atlanta Falcons","DemocratWhite","White","Democrat"
"206","Atlanta Falcons","DemocratWhite","White","Democrat"
"207","Atlanta Falcons","DemocratWhite","White","Democrat"
"208","Atlanta Falcons","IndependentAsian","Asian","Independent"
"209","Atlanta Falcons","IndependentAsian","Asian","Independent"
"210","Atlanta Falcons","IndependentAsian","Asian","Independent"
"211","Atlanta Falcons","IndependentBlack","Black","Independent"
"212","Atlanta Falcons","IndependentBlack","Black","Independent"
"213","Atlanta Falcons","IndependentBlack","Black","Independent"
"214","Atlanta Falcons","IndependentBlack","Black","Independent"
"215","Atlanta Falcons","IndependentBlack","Black","Independent"
"216","Atlanta Falcons","IndependentBlack","Black","Independent"
"217","Atlanta Falcons","IndependentBlack","Black","Independent"
"218","Atlanta Falcons","IndependentBlack","Black","Independent"
"219","Atlanta Falcons","IndependentBlack","Black","Independent"
"220","Atlanta Falcons","IndependentBlack","Black","Independent"
"221","Atlanta Falcons","IndependentBlack","Black","Independent"
"222","Atlanta Falcons","IndependentBlack","Black","Independent"
"223","Atlanta Falcons","IndependentBlack","Black","Independent"
